Skill,Count,Percentage,Definition,Evidence,Math Example
Pattern Recognition and Generalization,3,4.411764705882353,The ability to pattern recognition and generalization in mathematical problem-solving.,No evidence provided.,"Let  $A=\{1,2,\ldots,2012\}, \: B=\{1,2,\ldots,19\}$  and  $S$  be the set of all subsets of  $A.$  Find the number of functions  $f : S\to B$  satisfying  $f(A_1\cap A_2)=\min\{f(A_1),f(A_2)\}$  for ..."
Algebraic Manipulation,3,4.411764705882353,Transforming mathematical expressions using algebraic rules to reach more useful forms.,"> ""Using cot x = cos x/sin x and log 1/x = -log x:""
> ""D₂ = log₍ₑ₎(4/π) (cos²(θ+π/4)/sin(θ+π/4) - sin²(θ-π/4)/cos(θ-π/4))""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Domain Knowledge Application,2,2.941176470588235,The ability to domain knowledge application in mathematical problem-solving.,No evidence provided.,2.  The potential due to the line charge could be written as
Self,2,2.941176470588235,Actively monitoring one's problem-solving process and identifying inconsistencies or errors.,"- ""Something is wrong, the probabilities should sum to 1.""
- ""Let's recheck the eigenvectors.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Mathematical Modeling,2,2.941176470588235,The ability to mathematical modeling in mathematical problem-solving.,No evidence provided.,1.2.2. A process called free convection occurs when the air density increases with altitude. At which values of $\Lambda$ does the free convection occur?
Estimation and Approximation,1,1.4705882352941175,The ability to estimation and approximation in mathematical problem-solving.,No evidence provided.,"The following image is 1024 pixels by 1024 pixels, and each pixel is either black or white. The border defines the boundaries of the image, but is not part of the image. Let $a$ be the proportion of p..."
Asymptotic Analysis,1,1.4705882352941175,The ability to analyze the limiting behavior of terms in a sequence or series.,"""Consider the limit of $a_n$ as $n \to \infty$. $a_n = 3^n \sin\left(\frac{\pi}{3^n}\right) = 3^n \left( \frac{\pi}{3^n} - \frac{1}{3!} \left(\frac{\pi}{3^n}\right)^3 + \dots \right) = \pi - \frac{\pi^3}{6 \cdot 3^{2n}} + \dots$ As $n \to \infty$, $a_n \to \pi$.""",Compute the nearest integer to $$100 \sum_{n=1}^{\infty} 3^{n} \sin ^{3}\left(\frac{\pi}{3^{n}}\right)$$
Multiple Representation Strategies,1,1.4705882352941175,The ability to multiple representation strategies in mathematical problem-solving.,No evidence provided.,"2.1. The change of the parcel temperature $T_{\text {parcel }}$ with altitude is defined by $\frac{d T_{\text {parcel }}}{d z}=-G$. Derive the expression of $G\left(T, T_{\text {parcel }}\right)$."
Physics Knowledge Integration,1,1.4705882352941175,The ability to physics knowledge integration in mathematical problem-solving.,No evidence provided.,"A.4 In the ultrarelativistic limit, the energy of the electron as a function of time is:"
Conceptual Understanding and Translation,1,1.4705882352941175,The ability to understand fundamental concepts and translate problem statements into mathematical relationships.,"- ""The resolving power is related to the wavelength of the particle, λ. Specifically, the resolving power is proportional to the wavelength: R ∝ λ.""
- ""The wavelength of a particle is given by the de Broglie wavelength: λ = h/p, where h is Planck's constant and p is the momentum of the particle.""",B. How many times would the resolving power of the above microscope increase or decrease if the electron beam were replaced with the proton beam? Assume that the resolving power of the microscope (i.e...
Critical Decision,1,1.4705882352941175,The ability to evaluate different approaches and select appropriate mathematical models based on the problem conditions.,"- ""We need to consider if we should use classical or relativistic formulas.""
- ""The kinetic energy of the electron (80.1 × 10^-16 J) is a significant fraction of its rest energy (818.622 × 10^-16 J). So, we should use relativistic formulas for the electron.""
- ""The kinetic energy of the proton (80.1 × 10^-16 J) is much smaller than its rest energy (1502.676 × 10^-13 J). So, we can use classical formulas for the proton.""",B. How many times would the resolving power of the above microscope increase or decrease if the electron beam were replaced with the proton beam? Assume that the resolving power of the microscope (i.e...
Systematic Problem Decomposition,1,1.4705882352941175,Breaking down a complex problem into manageable sub-problems or cases to make the solution process more tractable.,"The solver divides the problem into two distinct cases:
- ""Case 1: α+β ≠ 0""
- ""Case 2: α+β = 0, so β = -α""","For any real numbers $\alpha$ and $\beta$, let $y_{\alpha, \beta}(x), x \in \mathbb{R}$, be the solution of the differential equation"
Verification and Self,1,1.4705882352941175,The ability to verification and self in mathematical problem-solving.,No evidence provided.,2.  The potential due to the line charge could be written as
Unit Consistency and Dimensional Analysis,1,1.4705882352941175,Maintaining consistent units throughout calculations and using dimensional analysis to verify equations.,"- Careful tracking of units: ""U = 50 kV = 50 × 10^3 V""
- Converting between different energy units: ""Rest energy of electron E₀ₑ = 511 keV = 511 × 10^3 × 1.602 × 10^-19 J""
- Ensuring consistent units in momentum calculations: ""pₑ = 231.517 keV/c""",B. How many times would the resolving power of the above microscope increase or decrease if the electron beam were replaced with the proton beam? Assume that the resolving power of the microscope (i.e...
Analogical Reasoning,1,1.4705882352941175,The ability to analogical reasoning in mathematical problem-solving.,No evidence provided.,"Let  $G_1$  and  $G_2$  be two finite groups such that for any finite group  $H$ , the number of group homomorphisms from  $G_1$  to  $H$  is equal to the number of group homomorphisms from  $G_2$  to..."
Trigonometric Identity Application,1,1.4705882352941175,The ability to recall and appropriately apply specialized trigonometric identities to transform complex expressions.,"""We can use the identity $\sin(3x) = 3\sin(x) - 4\sin^3(x)$, which implies $4\sin^3(x) = 3\sin(x) - \sin(3x)$. So, $\sin^3(x) = \frac{1}{4} (3\sin(x) - \sin(3x))$.""",Compute the nearest integer to $$100 \sum_{n=1}^{\infty} 3^{n} \sin ^{3}\left(\frac{\pi}{3^{n}}\right)$$
