Skill,Count,Percentage,Definition,Evidence,Math Example
Symbolic Manipulation,24,8.333333333333332,The ability to symbolic manipulation in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Algorithmic Thinking,22,7.638888888888889,The ability to algorithmic thinking in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Case Analysis,19,6.597222222222222,The ability to case analysis in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Verification,18,6.25,The ability to verification in mathematical problem-solving.,"The solver checks intermediate results to ensure correctness:
> ""Let's check if the probabilities sum to 1: P(X=0) + P(X=1) + P(X=2) + P(X=3) = 3/28 + 10/28 + 11/28 + 4/28 = 28/28 = 1""
> ""Let's double-check the calculations.""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Logical Deduction,18,6.25,The ability to logical deduction in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Subgoal Setting,17,5.902777777777778,The ability to subgoal setting in mathematical problem-solving.,The solver breaks down the main problem into smaller objectives.,"Anna and Berta play a game in which they take turns in removing marbles from a table. Anna takes the first turn. When at the beginning of the turn there are  $n\geq 1$  marbles on the table, then the ..."
Visual Representation,15,5.208333333333334,The ability to visual representation in mathematical problem-solving.,"Though not explicitly shown, the solver clearly creates a mental model:
- References to ""upper trapezoid"" and ""lower trapezoid""
- Discussion of heights, bases, and parallel segments

## Primary Cognitive Skills Summary (Ranked by Importance)

1. **Symbolic Manipulation** - The most essential skill demonstrated, as the entire solution depends on setting up and solving algebraic equations representing geometric relationships.",One base of a trapezoid is $100$ units longer than the other base. The segment that joins the midpoints of the legs divides the trapezoid into two regions whose areas are in the ratio $2: 3$ . Let $x$...
Spatial Reasoning,14,4.861111111111112,The ability to spatial reasoning in mathematical problem-solving.,"The solver visualizes and reasons about geometric relationships:
- Conceptualizing how the midline divides the trapezoid: ""The midline divides the trapezoid into two smaller trapezoids of the same height $h/2$.""
- Understanding how a parallel segment divides areas: ""The upper region is a trapezoid with bases $b_2$ and $y$, and height $h_1$.""
- Using similar triangles to relate segment lengths: ""Using similar triangles, we have $\frac{y - b_2}{h_1} = \frac{b_1 - b_2}{h}$""",One base of a trapezoid is $100$ units longer than the other base. The segment that joins the midpoints of the legs divides the trapezoid into two regions whose areas are in the ratio $2: 3$ . Let $x$...
Pattern Recognition,10,3.4722222222222223,The ability to pattern recognition in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Backtracking,9,3.125,The ability to backtracking in mathematical problem-solving.,"The solver abandons approaches that prove impractical:
- After calculating ""$3^{1.414214} = \sqrt[1000000]{3^{1414214}}$"", they note ""This is not practical.""
- ""Let's use the fact that $a^x \approx a^p (1 + (x-p) \ln a)$. But we don't have $\ln a$."" (abandons this approach)
- Tries multiple approaches to decompose the exponent before settling on the decimal expansion method","A simple calculator is given to you. (It contains 8 digits and only does the operations +,-,*,/, $ \sqrt{\mbox{}}$ ) How can you find  $ 3^{\sqrt{2}}$  with accuracy of 6 digits."
Abstraction,9,3.125,The ability to abstraction in mathematical problem-solving.,No evidence provided.,Find the number of distinct numbers in the list
Forward Chaining,5,1.7361111111111112,The ability to forward chaining in mathematical problem-solving.,"The solver works from the given information (coin probabilities) toward the goal (probability of equal heads):
> ""The problem asks for the probability that Jackie and Phil get the same number of heads when each flips three coins...""
> [Proceeds through calculations to reach] ""The probability is 123/392.""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Self,3,1.0416666666666665,Actively monitoring one's problem-solving process and identifying inconsistencies or errors.,"- ""Something is wrong, the probabilities should sum to 1.""
- ""Let's recheck the eigenvectors.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Constraint Analysis,3,1.0416666666666665,The ability to constraint analysis in mathematical problem-solving.,No evidence provided.,"Positive integers $a$ , $b$ , $c$ , and $d$ satisfy $a > b > c > d$ , $a + b + c + d = 2010$ , and $a^2 - b^2 + c^2 - d^2 = 2010$ . Find the number of possible values of $a$ ."
Coordinate Geometry Translation,3,1.0416666666666665,The ability to coordinate geometry translation in mathematical problem-solving.,No evidence provided.,Square $ABCD$ is inscribed in a circle. Square $EFGH$ has vertices $E$ and $F$ on $\overline{CD}$ and vertices $G$ and $H$ on the circle. The ratio of the area of square $EFGH$ to the area of square $...
Backward Chaining,3,1.0416666666666665,The ability to backward chaining in mathematical problem-solving.,The solver starts with the goal (finding the sum of f(σ)) and works backward to identify what needs to be calculated (the sum of cycles).,"For a permutation $\sigma$ of $1,2, \ldots, 7$, a transposition is a swapping of two elements. Let $f(\sigma)$ be the minimum number of transpositions necessary to turn $\sigma$ into the permutation $..."
Hypothesis Testing and Verification,2,0.6944444444444444,Proposing a solution and then verifying its correctness through calculation.,"> ""Let's double-check the calculations. If h=25, the intersection points with the top of the square are: x₁ = 50/25 = 2, x₂ = 10 - 50/25 = 10 - 2 = 8.""
> ""Area of trapezoid = (1/2) × 10 × (10 + 6) = 5 × 16 = 80. This matches the given area.""","Square $AIME$ has sides of length $10$ units.  Isosceles triangle $GEM$ has base $EM$ , and the area common to triangle $GEM$ and square $AIME$ is $80$ square units.  Find the length of the altitude t..."
